Date,Close
2019-01-01,1000.0
2019-01-02,1004.0
2019-01-03,1007.0
2019-01-04,1010.5
2019-01-07,1012.0
2019-01-08,1015.5
2019-01-09,1016.0
2019-01-10,1016.5
2019-01-11,1018.0
2019-01-14,1018.0
2019-01-15,1022.0
2019-01-16,1026.0
2019-01-17,1025.5
2019-01-18,1026.5
2019-01-21,1026.5
2019-01-22,1028.0
2019-01-23,1028.5
2019-01-24,1029.5
2019-01-25,1029.0
2019-01-28,1030.0
2019-01-29,1030.0
2019-01-30,1033.5
2019-01-31,1037.0
2019-02-01,1036.5
2019-02-04,1036.5
2019-02-05,1040.0
2019-02-06,1041.5
2019-02-07,1042.5
2019-02-08,1042.5
2019-02-11,1043.0
2019-02-12,1044.5
2019-02-13,1046.0
2019-02-14,1047.0
2019-02-15,1051.0
2019-02-18,1051.5
2019-02-19,1051.5
2019-02-20,1051.5
2019-02-21,1052.0
2019-02-22,1053.0
2019-02-25,1056.0
2019-02-26,1056.0
2019-02-27,1059.0
2019-02-28,1059.5
2019-03-01,1063.0
2019-03-04,1066.0
2019-03-05,1069.0
2019-03-06,1072.0
2019-03-07,1073.0
2019-03-08,1075.5
2019-03-11,1079.5
2019-03-12,1080.5
2019-03-13,1082.0
2019-03-14,1083.5
2019-03-15,1084.0
2019-03-18,1086.0
2019-03-19,1086.5
2019-03-20,1089.0
2019-03-21,1088.5
2019-03-22,1088.0
2019-03-25,1092.0
2019-03-26,1093.0
2019-03-27,1092.5
2019-03-28,1093.0
2019-03-29,1096.5
2019-04-01,1096.5
2019-04-02,1098.0
2019-04-03,1098.0
2019-04-04,1099.0
2019-04-05,1100.0
2019-04-08,1100.0
2019-04-09,1101.5
2019-04-10,1105.0
2019-04-11,1105.5
2019-04-12,1105.5
2019-04-15,1107.5
2019-04-16,1109.5
2019-04-17,1110.5
2019-04-18,1110.5
2019-04-19,1112.5
2019-04-22,1112.5
2019-04-23,1116.5
2019-04-24,1117.5
2019-04-25,1121.0
2019-04-26,1123.5
2019-04-29,1125.0
2019-04-30,1129.0
2019-05-01,1131.0
2019-05-02,1131.0
2019-05-03,1133.5
2019-05-06,1134.0
2019-05-07,1136.0
2019-05-08,1139.5
2019-05-09,1140.0
2019-05-10,1140.5
2019-05-13,1142.0
2019-05-14,1141.5
2019-05-15,1141.5
2019-05-16,1145.5
2019-05-17,1145.5
2019-05-20,1149.0
2019-05-21,1153.0
2019-05-22,1155.5
2019-05-23,1159.5
2019-05-24,1162.5
2019-05-27,1165.5
2019-05-28,1168.5
2019-05-29,1170.0
2019-05-30,1172.5
2019-05-31,1175.0
2019-06-03,1174.5
2019-06-04,1174.0
2019-06-05,1175.5
2019-06-06,1176.0
2019-06-07,1178.0
2019-06-10,1178.0
2019-06-11,1179.0
2019-06-12,1180.0
2019-06-13,1179.5
2019-06-14,1180.0
2019-06-17,1184.0
2019-06-18,1186.5
2019-06-19,1187.0
2019-06-20,1189.0
2019-06-21,1190.0
2019-06-24,1189.5
2019-06-25,1190.5
2019-06-26,1191.5
2019-06-27,1194.0
2019-06-28,1194.0
2019-07-01,1195.5
2019-07-02,1196.5
2019-07-03,1196.5
2019-07-04,1196.5
2019-07-05,1199.5
2019-07-08,1202.5
2019-07-09,1203.0
2019-07-10,1206.5
2019-07-11,1208.0
2019-07-12,1208.0
2019-07-15,1209.5
2019-07-16,1212.5
2019-07-17,1212.5
2019-07-18,1213.0
2019-07-19,1216.5
2019-07-22,1220.5
2019-07-23,1222.5
2019-07-24,1223.5
2019-07-25,1226.5
2019-07-26,1227.5
2019-07-29,1230.0
2019-07-30,1234.0
2019-07-31,1236.0
2019-08-01,1238.0
2019-08-02,1239.0
2019-08-05,1241.0
2019-08-06,1244.5
2019-08-07,1244.5
2019-08-08,1245.5
2019-08-09,1245.0
2019-08-12,1244.5
